competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,x_a,a_minus_x_a,kp,final_third,ppa,crs_pa,prog
Fußball-Bundesliga,M,GER,2018,Freiburg,team,29,34,11014,14766,74.6,230802,86383,3870,4750,81.5,5146,6115,84.2,1825,3386,53.9,21,24,-4,263,821,208,64,1030
Fußball-Bundesliga,M,GER,2018,Hamburger SV,team,29,34,10768,15037,71.6,219771,83045,4062,4995,81.3,4624,5875,78.7,1896,3519,53.9,18,24.9,-9.9,263,881,249,84,1118
Fußball-Bundesliga,M,GER,2018,Hannover 96,team,26,34,10882,14890,73.1,221155,91148,4006,4929,81.3,4817,5966,80.7,1869,3408,54.8,26,32.3,-4.3,307,807,208,79,1113
Fußball-Bundesliga,M,GER,2018,Hertha BSC,team,25,34,11673,15389,75.9,237392,85240,4535,5391,84.1,4949,5949,83.2,2025,3532,57.3,32,27,7,224,815,176,64,982
Fußball-Bundesliga,M,GER,2018,Hoffenheim,team,26,34,13767,17272,79.7,273083,97720,5192,5996,86.6,6361,7275,87.4,2028,3491,58.1,47,38.8,5.2,355,988,301,71,1364
Fußball-Bundesliga,M,GER,2018,Köln,team,31,34,11700,15704,74.5,242131,94026,4414,5329,82.8,5086,6120,83.1,2062,3788,54.4,24,28.7,-4.7,275,1036,247,66,1209
Fußball-Bundesliga,M,GER,2018,Leverkusen,team,24,34,14642,18413,79.5,282222,98199,6112,7090,86.2,6171,7242,85.2,2139,3482,61.4,46,43.5,2.5,378,1140,324,92,1414
Fußball-Bundesliga,M,GER,2018,M'Gladbach,team,27,34,14496,17948,80.8,284546,94880,5498,6335,86.8,6738,7638,88.2,2062,3406,60.5,26,35.6,-6.6,323,1040,268,58,1241
Fußball-Bundesliga,M,GER,2018,Mainz 05,team,27,34,10117,13929,72.6,212928,80582,3707,4553,81.4,4398,5444,80.8,1866,3471,53.8,27,24.3,2.7,293,818,216,57,1064
Fußball-Bundesliga,M,GER,2018,RB Leipzig,team,23,34,14201,18205,78,261551,98863,6352,7437,85.4,5805,6994,83,1806,3163,57.1,43,39.4,3.6,364,1145,315,50,1432
Fußball-Bundesliga,M,GER,2018,Schalke 04,team,24,34,12031,15577,77.2,238796,83418,4473,5276,84.8,5741,6750,85.1,1695,3137,54,33,30.4,1.6,304,763,219,62,1003
Fußball-Bundesliga,M,GER,2018,Stuttgart,team,26,34,12101,16046,75.4,248706,87143,4527,5323,85,5322,6386,83.3,2117,3869,54.7,22,24.1,-2.1,235,852,210,70,987
Fußball-Bundesliga,M,GER,2018,Werder Bremen,team,25,34,12071,16061,75.2,250402,92840,4356,5266,82.7,5416,6565,82.5,2137,3657,58.4,27,30.4,-4.4,318,978,264,89,1250
Fußball-Bundesliga,M,GER,2018,Wolfsburg,team,29,34,12757,16363,78,264609,92068,4560,5336,85.5,5808,6825,85.1,2250,3776,59.6,26,25.2,0.8,245,938,208,66,1097
Fußball-Bundesliga,M,GER,2018,vs Augsburg,opponent,27,34,13340,17220,77.5,271412,101193,5060,5966,84.8,5862,7022,83.5,2241,3709,60.4,32,29.9,2.1,336,1125,289,71,1290
Fußball-Bundesliga,M,GER,2018,vs Bayern Munich,opponent,28,34,9043,12343,73.3,179563,70888,3704,4454,83.2,3849,4727,81.4,1364,2752,49.6,18,21.4,-3.4,200,631,163,50,794
Fußball-Bundesliga,M,GER,2018,vs Dortmund,opponent,30,34,10186,13908,73.2,200750,78806,4207,5026,83.7,4161,5139,81,1638,3234,50.6,35,33,2,264,833,230,77,984
Fußball-Bundesliga,M,GER,2018,vs Eint Frankfurt,opponent,28,34,12423,16520,75.2,247452,91399,4936,5868,84.1,5328,6414,83.1,1983,3692,53.7,32,31,1,273,879,208,59,1109
Fußball-Bundesliga,M,GER,2018,vs Freiburg,opponent,29,34,14945,18826,79.4,314017,102755,4992,5796,86.1,7139,8219,86.9,2638,4303,61.3,35,36,-1,353,1224,310,86,1310
Fußball-Bundesliga,M,GER,2018,vs Hamburger SV,opponent,29,34,11625,15749,73.8,237469,88290,4438,5352,82.9,4967,6104,81.4,2036,3716,54.8,37,37.4,-0.4,324,859,266,79,1099
Fußball-Bundesliga,M,GER,2018,vs Hannover 96,opponent,26,34,12919,17002,76,259705,93801,4993,5948,83.9,5592,6685,83.6,2136,3825,55.8,40,38.6,1.4,354,1034,320,93,1321
